"Total passenger movements by EVERY country of residence (Monthly)","OCEANIA","Antarctica","Samoa, American","Australia","Cocos (Keeling) Islands","Cook Islands","Christmas Island","Fiji","Micronesia, Federated States of","Guam","Kiribati","Marshall Islands","Northern Mariana Islands","New Caledonia","Norfolk Island","Nauru","Niue","New Zealand","French Polynesia","Papua New Guinea","Pitcairn","Palau","Solomon Islands","French Southern Territories","Tokelau","Tonga","Tuvalu","Vanuatu","Wallis and Futuna","Samoa","ASIA","Afghanistan","Armenia","Azerbaijan","Bangladesh","Brunei Darussalam","Bhutan","China, People's Republic of","Georgia","Hong Kong (Special Administrative Region)","Indonesia","India","Japan","Kyrgyzstan","Cambodia","Korea, Democratic People's Republic of","Korea, Republic of","Kazakhstan","Laos","Sri Lanka","Burma (Myanmar)","Mongolia","Macau (Special Administrative Region)","Maldives","Malaysia","Nepal","Philippines","Pakistan","Singapore","Thailand","Tajikistan","Timor-Leste","Turkmenistan","Taiwan","Uzbekistan","Viet Nam","EUROPE","Andorra","Albania","Austria","Bosnia and Herzegovina","Belgium","Bulgaria","Belarus","Switzerland","Czechoslovakia","Cyprus","Czechia","Germany, Democratic Republic of","Germany","Denmark","Estonia","Spain","Finland","Faeroe Islands","France","United Kingdom","Gibraltar","Greenland","Greece","Croatia","Hungary","Ireland","Iceland","Italy","Kosovo","Liechtenstein","Lithuania","Luxembourg","Latvia","Monaco","Moldova","Montenegro","North Macedonia","Malta","Netherlands","Norway","Poland","Portugal","Romania","Serbia","Russia","Sweden","Slovenia","Slovakia","San Marino","Union of Soviet Socialist Republics","Ukraine","Vatican City State","Yugoslavia/Serbia and Montenegro","AMERICAS","Antigua and Barbuda","Anguilla","Netherlands Antilles","Argentina","Aruba","Barbados","Bermuda","Bolivia","Brazil","Bahamas","Belize","Canada","Chile","Colombia","Costa Rica","Cuba","Curacao","Dominica","Dominican Republic","Ecuador","Falkland Islands","Grenada","French Guiana","Guadeloupe","South Georgia and the South Sandwich Islands","Guatemala","Guyana","Honduras","Haiti","Jamaica","St Kitts and Nevis","Cayman Islands","St Lucia","Martinique","Montserrat","Mexico","Nicaragua","Panama","Peru","St Pierre and Miquelon","Puerto Rico","Paraguay","Suriname","El Salvador","St Maarten (Dutch Part)","Turks and Caicos Islands","Trinidad and Tobago","United States Minor Outlying Islands","United States of America","Uruguay","St Vincent and the Grenadines","Venezuela","Virgin Islands, British","Virgin Islands, United States","AFRICA AND THE MIDDLE EAST","United Arab Emirates","Angola","Burkina Faso","Bahrain","Burundi","Benin","Botswana","Congo, the Democratic Republic of the","Central African Republic","Congo","Cote d'Ivoire","Cameroon","Cabo Verde","Djibouti","Algeria","Egypt","Western Sahara","Eritrea","Ethiopia","Gabon","Ghana","Gambia","Guinea","Equatorial Guinea","Guinea-Bissau","Israel","British Indian Ocean Territory","Iraq","Iran","Jordan","Kenya","Comoros","Kuwait","Lebanon","Liberia","Lesotho","Libya","Morocco","Madagascar","Mali","Mauritania","Mauritius","Malawi","Mozambique","Namibia","Niger","Nigeria","Oman","Gaza Strip/Palestine/West Bank","Qatar","Reunion","Rwanda","Saudi Arabia","Seychelles","Sudan","St Helena","Sierra Leone","Senegal","Somalia","South Sudan","Sao Tome and Principe","Syria","Eswatini","Chad","Togo","Tunisia","Turkey","Tanzania","Uganda","Yemen, Democratic","Yemen","Mayotte","South Africa","Zambia","Zimbabwe","NOT STATED","TOTAL ALL COUNTRIES OF RESIDENCE"
"2019M01",477041,5,82,140956,0,1055,0,2727,1,15,54,5,4,3275,17,6,201,322855,2313,190,0,5,107,0,31,1186,41,414,30,1466,93456,29,6,3,61,45,14,44910,0,3438,1054,5390,8465,1,159,3,14175,25,45,284,65,21,138,28,2333,103,1845,100,3039,1190,3,38,1,5712,8,725,87514,7,4,1466,9,1093,88,18,3593,"..",74,778,0,15336,2913,159,1260,886,4,5732,37845,9,11,192,135,276,1904,86,1372,3,14,84,96,97,32,5,2,12,91,5360,862,1000,237,232,47,790,2872,123,158,4,0,143,0,0,57447,4,0,0,2522,4,3,30,14,1949,16,2,9791,1019,269,39,6,7,0,9,37,1,5,2,4,0,6,1,17,0,21,0,23,3,2,0,569,3,45,102,0,14,37,0,5,0,5,15,0,40612,202,2,17,9,4,6044,775,3,0,31,0,1,19,4,0,2,1,2,0,1,2,65,0,2,14,10,65,0,13,0,0,1144,0,20,62,41,71,0,55,28,7,0,1,7,6,15,1,54,4,5,20,0,18,117,6,165,41,2,255,7,13,4,0,3,3,1,0,3,4,11,0,3,169,10,8,0,3,0,2561,25,61,10894,732396
"2019M02",332599,7,109,125737,0,1078,1,2815,11,32,99,11,6,1736,33,9,196,192315,2384,254,0,8,252,0,46,1683,43,1041,5,2688,110562,17,3,4,100,47,9,51867,3,6946,1324,7229,11852,2,270,3,10710,34,58,350,61,33,230,9,2962,105,2412,110,4364,1678,1,26,0,6555,8,1180,88070,12,2,1525,4,1151,106,29,3163,"..",54,1062,0,16864,2504,82,1240,701,3,6472,38704,9,3,96,116,291,1613,75,1188,9,14,116,118,108,14,11,4,14,55,4798,740,991,253,189,48,730,2219,191,215,0,0,164,0,0,71549,10,0,1,2207,1,13,54,18,1551,8,3,12777,1157,218,22,6,2,3,7,56,8,3,0,6,0,19,8,2,0,16,0,19,2,1,0,513,5,47,83,0,13,8,2,8,2,7,11,0,52253,389,1,5,3,1,6092,819,3,1,50,5,2,14,5,0,3,0,5,0,1,6,48,0,1,15,11,58,5,20,0,0,1000,0,25,64,24,58,1,74,10,0,1,3,5,11,5,0,58,9,8,28,2,22,104,2,170,30,3,245,6,14,1,1,0,14,11,0,3,9,6,1,3,104,17,8,0,6,0,2792,15,47,10679,619551
"2019M03",344552,7,135,132878,0,1247,2,2800,1,40,49,13,4,1669,21,31,202,196480,2415,234,1,3,153,0,39,1915,49,1279,20,2865,99124,25,0,8,87,151,2,41748,2,4255,1832,6671,13186,1,143,4,8944,36,38,399,59,19,284,17,3733,120,2500,140,5358,3322,1,19,0,5292,7,721,57369,18,5,875,3,720,94,15,2058,"..",57,761,0,11677,1349,104,1179,479,5,4499,24416,6,0,97,91,214,1129,45,884,3,11,85,86,68,19,6,12,9,47,2590,410,799,208,132,22,582,1119,94,166,0,0,121,0,0,65216,7,2,0,2051,0,11,32,10,1673,4,1,10029,989,195,54,1,5,0,10,69,9,0,4,5,0,6,4,6,1,8,1,31,7,4,0,454,5,51,110,0,28,10,0,3,2,4,14,0,48901,387,3,8,6,1,6250,1021,3,1,43,1,4,11,10,0,2,5,11,0,0,9,39,0,2,29,12,37,4,20,0,0,478,0,13,98,49,75,2,66,37,3,0,5,36,3,11,0,69,10,5,29,0,16,55,13,143,17,18,239,6,14,1,0,3,3,7,1,2,1,17,1,6,150,17,10,0,1,0,3188,22,46,9070,581581
"2019M04",389493,0,111,131930,0,1240,10,2939,2,26,59,5,2,1369,41,12,216,244533,2443,304,3,2,121,0,28,1428,37,497,5,2130,87514,16,4,1,138,39,3,37035,1,5778,1724,5667,7359,2,224,3,5518,7,52,354,92,24,227,10,3652,95,3435,99,4261,5782,2,18,1,4972,1,918,35118,7,0,493,3,427,81,6,1309,"..",24,226,0,5325,703,32,1003,257,1,2870,16691,9,0,53,37,80,918,67,635,3,6,20,63,11,20,12,4,7,39,1330,448,237,213,105,12,466,657,55,69,0,0,84,0,0,33249,5,0,0,1105,2,4,16,8,1132,3,0,4828,689,180,45,7,1,1,49,26,5,4,2,1,0,2,4,5,0,7,3,22,0,0,0,653,5,14,77,0,8,8,1,8,1,6,1,1,24079,222,0,3,4,2,4767,703,5,3,43,0,4,18,1,1,1,0,2,0,4,4,33,0,0,2,5,31,3,14,1,0,281,0,13,41,12,44,1,58,17,0,2,1,10,1,4,0,54,4,9,23,0,28,61,2,146,10,1,198,4,10,0,3,0,3,1,0,4,2,4,1,4,32,9,11,0,2,0,2726,13,39,6788,556929
"2019M05",339717,0,76,92062,0,1033,1,2394,3,22,48,9,7,1193,37,20,208,236300,1644,221,0,0,57,0,26,1431,55,688,6,2176,70728,18,2,1,115,73,4,28222,4,3396,3500,7594,3980,0,239,5,4592,18,40,278,42,4,237,19,3248,109,3625,106,4631,2590,2,22,0,3277,2,733,17415,3,6,316,3,244,42,5,585,"..",15,145,0,2368,319,12,488,132,1,1619,7580,5,0,42,25,78,422,28,600,2,2,30,23,13,2,1,3,5,17,770,157,162,90,62,12,491,290,15,49,1,0,135,0,0,24577,4,0,0,719,2,10,2,6,1041,10,1,3060,625,125,18,2,0,0,3,45,1,2,0,1,0,2,2,2,1,6,0,12,0,0,0,244,2,12,42,0,11,6,0,2,0,5,13,0,18387,145,0,4,2,0,3770,582,1,2,24,1,1,7,4,0,1,3,4,0,0,0,27,1,1,10,5,18,2,12,0,0,147,0,17,33,17,28,0,25,44,0,0,0,7,5,6,0,25,5,3,25,0,14,31,4,131,6,1,329,1,5,2,1,0,16,5,0,2,1,4,0,0,58,10,6,0,0,0,2010,11,29,5449,461656
"2019M06",370382,0,142,101745,0,1061,3,2235,12,9,61,4,4,1195,17,20,177,258255,1240,268,2,4,111,1,28,1342,44,442,11,1949,57183,13,3,8,109,33,2,18952,4,2787,5603,4776,3966,3,252,1,4138,16,43,265,30,11,132,8,2465,125,2612,96,5025,1519,3,17,1,3177,3,985,15331,3,2,241,4,203,26,4,413,"..",19,135,0,2047,253,14,522,123,2,1606,6581,2,1,31,35,56,616,28,533,0,0,7,30,11,2,1,0,2,16,605,279,88,89,50,13,206,313,40,34,0,0,44,1,0,25998,2,1,0,646,0,3,5,13,935,6,0,2705,537,126,18,2,0,0,13,50,0,0,0,1,0,5,3,7,0,13,0,37,0,1,0,299,1,11,45,0,38,3,2,1,1,0,4,0,20348,114,0,1,1,0,4862,650,9,2,40,0,2,9,5,0,1,5,0,0,0,2,32,0,2,20,4,39,1,12,0,0,78,0,22,56,19,23,0,84,17,1,0,1,9,3,3,1,42,3,9,19,0,12,103,6,234,11,3,639,5,9,1,1,7,2,1,0,1,6,2,0,3,57,18,5,0,5,3,2469,11,23,4716,478472
"2019M07",477577,0,193,125117,0,1084,1,2045,10,35,57,12,7,1023,38,12,234,341476,2322,232,1,6,66,0,20,1288,57,214,3,2024,68736,25,7,7,67,137,7,29393,1,4020,2033,4666,7143,10,198,4,5539,29,55,328,52,27,291,9,2229,135,2317,109,3331,2273,3,26,2,3160,2,1101,23953,8,3,499,4,397,33,2,874,"..",37,124,0,3883,423,10,940,109,1,2496,9223,2,3,82,28,61,829,31,982,2,6,10,38,16,5,0,0,3,36,1306,330,217,165,69,14,208,359,27,27,0,0,31,0,0,24601,2,0,0,978,2,8,14,11,1370,2,0,2816,797,181,17,1,2,0,5,19,3,5,0,0,0,5,6,1,0,13,1,18,2,0,0,467,1,18,50,0,20,11,0,1,3,1,13,0,17636,99,0,0,1,1,5829,1632,1,2,72,1,0,14,4,0,3,5,0,3,0,5,56,0,3,14,9,38,1,9,0,0,175,0,26,51,40,24,0,99,13,1,0,2,9,1,8,0,42,13,7,17,2,21,124,2,306,18,1,578,2,5,0,2,2,7,2,0,0,1,8,1,2,80,7,10,0,0,2,2200,7,39,5589,606285
"2019M08",418493,0,251,121540,0,1039,1,2283,2,24,40,5,6,2129,25,11,187,285497,1407,152,1,2,94,0,27,1364,19,297,12,2078,73075,14,2,6,101,64,1,29975,5,4119,1674,4521,9686,1,186,3,4626,11,34,426,22,16,420,12,3317,128,2762,103,4485,1764,3,11,1,3880,11,685,21976,4,0,444,2,289,34,9,654,"..",36,143,0,3271,237,31,1253,135,3,2049,8991,3,0,67,53,55,623,13,1282,1,2,25,69,23,10,5,2,4,48,859,207,166,188,79,14,201,269,52,36,0,0,35,0,0,21144,2,0,0,714,0,3,15,15,1128,11,1,2877,584,159,14,2,0,0,5,55,7,0,1,0,1,8,1,0,0,4,2,24,1,2,0,232,1,14,59,0,8,1,2,1,0,4,9,1,15047,122,0,2,3,2,5207,1220,5,2,63,1,1,9,4,0,2,5,3,0,0,7,18,1,0,24,7,47,3,9,0,0,155,0,30,69,29,42,0,114,19,0,1,2,7,2,10,0,38,3,8,9,0,22,83,3,185,11,3,364,5,20,1,0,8,17,10,0,4,8,8,1,2,52,15,4,0,2,0,2353,21,36,5267,545162
"2019M09",425193,1,247,132576,0,1205,0,2490,9,27,60,4,3,1258,34,10,233,280784,1612,228,1,6,123,0,32,1617,48,337,9,2239,67299,32,1,1,112,65,7,28210,3,3026,1762,5268,5525,1,236,5,5184,20,34,396,69,10,236,26,4010,115,2395,93,3986,1385,0,16,0,4345,3,722,24510,5,3,437,1,422,53,13,786,"..",23,288,0,4557,437,21,972,203,4,2354,9528,4,0,52,40,87,722,32,868,4,1,33,33,33,6,1,1,14,38,1033,226,207,131,73,28,205,411,27,53,0,0,40,0,0,23306,2,2,0,1009,0,12,11,5,1335,6,1,3056,983,122,14,4,0,0,7,21,4,1,1,2,0,18,3,0,1,6,0,21,4,5,0,344,3,18,62,0,15,7,3,3,3,0,2,1,16027,149,0,7,3,3,4862,560,3,5,46,0,1,13,1,0,1,3,2,0,0,2,36,0,0,7,4,46,1,9,0,0,571,0,12,41,14,19,0,30,10,2,0,4,19,6,6,0,43,3,7,20,4,15,55,3,108,5,0,210,5,7,0,3,2,6,3,1,1,0,2,1,1,53,12,11,0,0,1,2758,13,35,6074,551244
"2019M10",462226,6,166,120867,0,1276,3,2192,0,19,85,8,3,1638,36,8,240,327492,2246,242,3,2,152,0,20,1798,57,1226,16,2425,72689,18,0,2,78,46,2,28460,0,3417,1830,6317,6423,0,159,0,6120,29,21,367,56,17,164,9,3047,143,2752,100,4698,3203,0,27,2,4302,4,876,43274,8,2,740,2,740,45,6,1611,"..",33,521,0,8462,893,60,1464,326,8,3941,16335,10,0,70,46,135,1113,37,1086,2,4,66,90,46,12,11,7,5,52,2608,342,382,225,101,16,632,743,84,60,0,0,92,0,0,30863,3,1,0,814,2,18,19,11,1286,5,1,4641,780,160,14,5,0,0,6,27,3,1,1,4,0,31,0,3,1,7,0,10,3,2,0,270,5,7,62,0,24,10,3,1,0,1,8,2,22467,129,3,11,1,0,4791,574,2,1,29,0,4,14,0,0,2,4,1,0,0,3,28,0,0,19,7,32,2,15,0,0,574,0,16,84,28,38,0,42,16,3,0,1,8,7,4,0,42,14,4,18,1,25,51,4,147,19,20,185,3,11,2,1,0,10,7,0,1,4,5,0,0,55,6,18,0,1,0,2529,17,33,6573,620416
"2019M11",382655,1,210,130983,0,1247,3,3644,8,33,55,6,4,1570,15,10,263,234802,2313,232,0,3,306,0,37,2236,64,1132,3,3475,97490,15,5,2,196,86,7,39376,2,4485,1829,7771,9236,5,194,4,9559,23,27,531,46,36,265,17,5079,164,2327,121,8461,1829,1,14,0,5113,6,658,63977,14,5,1105,6,1083,118,26,2489,"..",33,825,0,11673,1564,133,2019,712,4,5403,23823,11,3,117,71,266,1314,56,1365,2,15,100,118,146,9,6,0,13,84,4195,670,986,272,280,54,715,1596,104,218,1,0,155,0,0,51609,3,1,0,975,1,8,24,15,1215,2,1,8101,557,158,32,7,8,3,12,36,4,5,3,8,0,16,3,4,1,2,3,13,3,2,2,495,8,36,63,0,15,9,2,4,1,1,15,0,39577,145,0,7,0,3,6365,774,4,0,29,1,6,18,1,0,6,3,8,0,4,1,41,0,0,10,8,39,2,24,2,0,881,0,16,83,31,59,0,78,20,4,1,2,12,1,5,0,53,14,11,25,1,28,38,16,149,9,4,193,2,16,0,1,1,6,0,0,4,6,4,0,5,100,15,7,0,0,0,3411,26,46,13181,615277
"2019M12",421119,4,156,198134,0,1720,5,6747,2,60,88,13,5,2776,34,6,361,196131,4024,305,2,7,149,0,52,4646,111,536,32,5013,120984,28,14,5,170,287,7,37331,12,8882,4139,9862,13368,8,256,5,12084,90,59,667,127,47,334,32,6768,209,4120,144,14009,2678,0,44,2,4393,26,777,98841,14,6,1562,12,1259,212,37,4372,"..",82,1159,0,15807,2401,187,2140,1129,16,5446,43180,3,2,200,148,246,2398,113,1966,13,23,60,163,122,28,12,5,14,120,5562,1094,813,319,372,57,1421,4027,154,193,2,0,170,0,0,74775,8,2,0,1288,8,5,27,20,2635,24,0,11089,750,324,27,8,2,0,14,17,8,4,3,4,0,11,3,14,0,13,1,45,6,0,0,963,10,28,137,0,19,19,0,5,3,6,39,0,57012,146,5,17,2,4,11418,1690,9,6,80,0,2,34,11,0,2,5,6,0,3,0,73,1,0,16,20,49,9,13,1,0,1012,0,20,98,69,97,5,114,24,4,2,2,33,4,10,0,93,28,40,48,3,32,123,6,283,42,9,308,14,31,1,5,2,9,13,0,4,6,6,1,1,137,26,26,0,3,2,6473,27,92,4267,731404
"2020M01",487959,7,97,145091,0,1074,2,3107,3,34,114,6,4,3379,41,14,186,328122,2254,264,2,3,141,0,21,1526,54,511,26,1876,106282,20,3,7,76,36,16,51200,3,5462,1289,5833,9296,3,224,4,14597,43,65,326,74,32,215,18,2003,158,1919,127,3395,1422,0,51,6,7168,14,1177,83593,16,7,1304,7,1186,93,25,3415,"..",81,661,0,13860,2694,103,1395,681,24,5768,36444,14,6,159,151,245,2111,86,1413,12,23,86,97,73,28,9,8,25,111,4855,808,955,270,263,72,931,2634,88,153,0,0,142,1,0,60046,9,1,0,1552,13,5,66,20,2298,28,2,10622,840,271,39,9,1,1,14,45,3,4,2,3,0,13,2,20,2,25,1,32,3,12,0,626,4,26,119,0,35,29,2,4,0,4,12,1,43086,104,8,18,5,5,7432,902,5,2,43,1,2,21,4,2,1,7,6,1,0,1,55,0,3,30,15,82,6,42,0,0,1149,0,34,90,49,77,2,68,74,4,2,3,49,4,11,1,62,10,28,19,2,40,117,13,179,39,22,314,9,23,7,0,2,9,6,0,6,1,13,2,7,119,15,8,0,4,0,3408,31,69,3687,748999
"2020M02",340641,13,43,133968,0,1192,0,3014,6,21,87,5,7,1813,19,6,185,191813,2429,258,2,2,203,0,24,1811,58,1110,6,2546,64152,15,1,5,91,88,8,5325,8,5218,1690,10581,13099,5,165,2,11263,34,46,553,86,25,144,26,2006,283,2385,134,3664,1389,0,25,0,4869,8,911,88660,10,4,1558,10,1096,205,24,2995,"..",59,1109,0,16210,2387,146,1365,628,2,6666,39330,15,3,101,143,305,1650,79,1205,0,12,126,132,77,24,6,6,14,92,5256,671,972,270,241,54,677,2198,206,207,0,0,114,0,0,71900,5,0,0,1931,2,15,36,9,1140,12,5,13740,898,163,26,6,15,2,6,23,3,4,3,1,0,40,2,5,0,11,1,25,8,2,0,507,4,44,97,0,26,7,1,0,3,2,19,0,52576,462,0,13,0,0,6497,832,8,0,51,1,3,21,1,0,2,3,4,0,1,9,23,0,0,9,11,16,1,0,0,0,869,0,16,64,22,51,2,75,20,2,0,2,18,4,15,3,47,6,7,33,4,20,89,3,215,44,5,248,13,9,0,2,5,5,1,0,2,4,7,0,7,113,8,37,0,4,0,3296,30,74,3359,575209
"2020M03",219185,8,25,73445,0,765,1,1696,3,6,41,1,3,979,15,9,87,137482,1003,165,0,2,175,0,32,955,20,880,1,1386,23083,25,3,10,52,67,4,1639,0,2161,1332,5037,3545,1,115,0,967,19,29,280,46,5,68,11,1515,128,1306,67,2039,1025,1,23,1,1256,2,304,36121,6,2,598,2,562,81,8,1226,"..",33,479,0,6672,871,37,749,297,0,2808,16312,10,9,63,69,108,702,28,331,7,4,46,67,42,13,5,1,13,36,1693,316,379,126,86,16,345,707,70,37,0,0,49,0,0,35346,6,2,1,1129,2,9,25,9,864,18,1,6265,509,88,18,15,4,0,7,42,3,6,2,2,0,20,3,5,0,2,0,21,3,1,0,339,7,14,39,0,24,4,2,2,4,4,4,0,25582,225,2,7,5,0,3485,538,9,5,26,0,0,8,8,0,1,1,3,0,0,2,30,0,0,33,4,14,1,1,0,0,240,0,15,19,19,21,0,28,37,1,0,0,13,3,11,0,28,3,4,19,4,7,31,2,113,31,6,80,4,4,0,0,0,7,2,0,1,4,1,0,0,43,17,12,0,0,0,1919,23,29,1691,318911
"2020M04",5077,0,0,914,0,22,0,15,0,0,0,1,0,1,0,0,10,4062,0,1,0,0,7,0,1,19,0,1,0,23,343,0,2,0,7,0,0,52,0,32,15,68,5,0,5,0,9,0,1,0,9,1,0,1,49,8,35,1,5,27,0,0,0,1,0,10,404,0,0,1,0,2,0,0,1,"..",1,0,0,44,1,0,12,1,0,19,288,0,0,0,0,1,9,0,1,0,0,0,0,1,0,0,0,0,0,13,1,1,0,1,2,1,2,0,0,0,0,1,0,0,205,1,0,0,4,0,0,0,1,9,0,0,29,15,1,1,0,0,0,0,7,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,122,0,0,2,0,0,121,10,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,1,0,3,0,0,0,0,0,0,1,3,1,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,75,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,1,106,6256
"2020M05",4380,0,4,1539,0,51,0,13,0,0,1,0,0,0,0,0,14,2656,7,8,0,0,2,0,0,10,0,4,0,71,432,1,0,0,2,1,0,181,0,63,19,8,14,0,15,0,18,4,0,1,1,1,2,1,10,4,35,1,28,19,0,0,0,2,0,1,228,0,1,3,0,0,0,0,0,"..",0,0,0,5,3,0,7,0,0,18,170,0,0,0,1,0,4,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,4,0,0,382,1,0,0,2,0,0,0,0,1,2,0,24,1,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,334,0,1,0,0,0,111,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,3,24,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,29,0,0,89,5622
"2020M06",6550,0,2,1825,0,47,0,32,0,0,0,0,0,0,1,1,19,4535,5,10,0,0,2,0,0,25,0,4,0,42,982,1,0,0,3,4,0,297,0,107,20,260,46,0,0,0,85,2,0,0,1,0,2,0,12,8,10,3,73,24,0,0,0,12,0,12,570,0,0,2,0,2,0,0,6,"..",1,2,0,28,4,0,11,0,0,15,428,0,0,1,0,5,21,0,7,0,0,2,0,3,1,0,0,0,0,14,3,4,3,1,0,1,3,1,1,0,0,0,0,0,769,1,0,0,3,0,0,0,0,16,1,0,113,2,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,601,1,2,0,0,0,265,39,0,0,5,0,0,1,0,0,1,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,1,0,2,1,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,34,0,1,35,0,2,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0,105,0,0,134,9270
